Date,Stock
2004-08,52.50265122222223
2004-09,55.77949647619049
2004-10,75.96051933333334
2004-11,88.75019976190474
2004-12,90.3597186818182
2005-01,96.35957069999998
2005-02,97.52419273684211
2005-03,90.50893231818183
2005-04,99.08882909523808
2005-05,118.3582694761905
2005-06,143.19486168181817
2005-07,148.73600234999998
2005-08,142.78718969565216
2005-09,151.14940890476188
2005-10,160.731111
2005-11,198.60368057142858
2005-12,209.35575938095232
2006-01,222.63202135
2006-02,184.99448984210528
2006-03,179.15197360869567
2006-04,206.5896003684211
2006-05,192.55824490909092
2006-06,195.5273417272727
2006-07,201.80807405000002
2006-08,188.21885752173912
2006-09,197.60159144999997
2006-10,218.75958186363638
2006-11,241.91372466666672
2006-12,236.94960490000003
2007-01,244.23106149999998
2007-02,234.05297373684215
2007-03,225.4191645454546
2007-04,235.57699810000003
2007-05,235.31480136363635
2007-06,256.3465336666667
2007-07,265.1449795238095
2007-08,254.05404795652174
2007-09,267.9821151578948
2007-10,315.3306726086957
2007-11,338.64922942857146
2007-12,347.0297485000001
2008-01,306.72247028571434
2008-02,251.57353880000005
2008-03,219.60212625000003
2008-04,247.46494022727273
2008-05,287.77373680952377
2008-06,278.116599047619
2008-07,254.79949459090906
2008-08,242.05581004761902
2008-09,217.31260252380955
2008-10,180.25154591304346
2008-11,152.747989
2008-12,148.65258518181824
2009-01,158.17362525000004
2009-02,173.6703563157895
2009-03,163.71046449999997
2009-04,187.02588542857143
2009-05,199.2028397
2009-06,210.98644268181815
2009-07,212.37306286363636
2009-08,228.05543014285715
2009-09,239.11777671428575
2009-10,264.00476209090914
2009-11,281.30683904999995
2009-12,298.56884622727273
2010-01,289.99617894736843
2010-02,266.6804134736842
2010-03,278.54377817391304
2010-04,278.1023646190476
2010-05,249.227835
2010-06,242.3423240454545
2010-07,235.0791028571428
2010-08,239.03449463636363
2010-09,245.5598181428571
2010-10,286.62020009523815
2010-11,301.06415676190477
2010-12,294.9917962727273
2011-01,307.13926845000003
2011-02,306.5331452105263
2011-03,290.82946256521745
2011-04,276.9723358499999
2011-05,263.92242290476196
2011-06,251.10017672727272
2011-07,284.3763398
2011-08,274.20265456521736
2011-09,265.14830166666667
2011-10,278.8806398571428
2011-11,295.9796404761905
2011-12,311.9737446666667
2012-01,307.35421289999994
2012-02,301.3529556
2012-03,312.1033435
2012-04,309.49867545
2012-05,301.88346731818183
2012-06,284.58188890476197
2012-07,296.0908958095238
2012-08,328.4298335652173
2012-09,356.2541457368421
2012-10,363.96979776190483
2012-11,333.6399114285715
2012-12,350.51468510000007
2013-01,365.3923281904762
2013-02,390.5120575789474
2013-03,407.79872434999993
2013-04,396.1281695909092
2013-05,435.656599590909
2013-06,437.53152305000003
2013-07,449.1215806363635
2013-08,436.98412122727274
2013-09,440.6129792500001
2013-10,466.113115347826
2013-11,513.1052490999999
2013-12,539.6313708571429
2014-01,567.6530064761904
2014-02,592.4726882631578
2014-03,593.0493018095237
2014-04,542.4810936666667
2014-05,531.6764715238096
2014-06,556.3164411428571
2014-07,582.5474354545455
2014-08,572.5817812857143
2014-09,579.9705519047618
2014-10,546.8347499130435
2014-11,542.7687764210526
2014-12,523.5317396363635
2015-01,511.8193008
2015-02,534.4484542105263
2015-03,558.8252895909092
2015-04,539.9668114285715
2015-05,535.4705017
2015-06,533.834772409091
2015-07,588.2004561363636
2015-08,639.4272401904761
2015-09,618.796192
2015-10,662.2859107727273
2015-11,733.6360016000001
2015-12,756.099540090909
2016-01,719.5031514210525
2016-02,706.34900205
2016-03,725.2654529999999
2016-04,738.4457108095237
2016-05,709.8933308571428
2016-06,707.7359092272728
2016-07,724.1904998
2016-08,774.482610304348
2016-09,772.8947608571428
2016-10,790.2942825238094
2016-11,768.0685685714285
2016-12,782.3128631904762
2017-01,807.5259979
2017-02,815.3163098421052
2017-03,834.1521765652174
2017-04,842.5605244210526
2017-05,936.694543909091
2017-06,956.5595454090908
2017-07,941.7030000000001
2017-08,921.6613000434784
2017-09,930.8709959999999
2017-10,981.9199967727272
2017-11,1028.7923846666667
2017-12,1042.87898555
2018-01,1127.2009451428573
2018-02,1088.6294715789477
2018-03,1096.1080845714287
2018-04,1038.4152366666665
2018-05,1064.0213762727271
2018-06,1136.396182190476
2018-07,1183.4642799523808
2018-08,1226.1569504782608
2018-09,1176.878424368421
2018-10,1116.0821719130433
2018-11,1054.9714239047619
2018-12,1042.6199983157894
2019-01,1069.4223894285715
2019-02,1112.5910515263158
2019-03,1177.015008857143
2019-04,1223.1004696666669
2019-05,1150.3086381818182
2019-06,1084.02700185
2019-07,1149.3322753181817
2019-08,1181.3018188181816
2019-09,1217.59900515
2019-10,1230.8099948695651
2019-11,1302.3484923500002
2019-12,1340.8614152857142
2020-01,1432.679518904762
2020-02,1462.7857858421053
2020-03,1183.330916
2020-04,1234.9626233333333
2020-05,1377.21184075
2020-06,1430.0645585454547
2020-07,1493.3399963333334
